date,date,price
2018-12-10,2018-12-10,10488.45
2018-12-11,2018-12-11,10549.15
2018-12-12,2018-12-12,10737.6
2018-12-13,2018-12-13,10791.55
2018-12-14,2018-12-14,10805.45
2018-12-17,2018-12-17,10888.35
2018-12-18,2018-12-18,10908.7
2018-12-19,2018-12-19,10967.3
2018-12-20,2018-12-20,10951.7
2018-12-21,2018-12-21,10754.0
2018-12-24,2018-12-24,10663.5
2018-12-26,2018-12-26,10729.85
2018-12-27,2018-12-27,10779.8
2018-12-28,2018-12-28,10859.9
2018-12-31,2018-12-31,10862.55
2019-01-01,2019-01-01,10910.1
2019-01-02,2019-01-02,10792.5
2019-01-03,2019-01-03,10672.25
2019-01-04,2019-01-04,10727.35
2019-01-07,2019-01-07,10771.8
2019-01-08,2019-01-08,10802.15
2019-01-09,2019-01-09,10855.15
2019-01-10,2019-01-10,10821.6
2019-01-11,2019-01-11,10794.95
2019-01-14,2019-01-14,10737.6
2019-01-15,2019-01-15,10886.8
2019-01-16,2019-01-16,10890.3
2019-01-17,2019-01-17,10905.2
2019-01-18,2019-01-18,10906.95
2019-01-21,2019-01-21,10961.85
2019-01-22,2019-01-22,10922.75
2019-01-23,2019-01-23,10831.5
2019-01-24,2019-01-24,10849.8
2019-01-25,2019-01-25,10780.55
2019-01-28,2019-01-28,10661.55
2019-01-29,2019-01-29,10652.2
2019-01-30,2019-01-30,10651.8
2019-01-31,2019-01-31,10830.95
2019-02-01,2019-02-01,10893.65
2019-02-04,2019-02-04,10912.25
2019-02-05,2019-02-05,10934.35
2019-02-06,2019-02-06,11062.45
2019-02-07,2019-02-07,11069.4
2019-02-08,2019-02-08,10943.6
2019-02-11,2019-02-11,10888.8
2019-02-12,2019-02-12,10831.4
2019-02-13,2019-02-13,10793.65
2019-02-14,2019-02-14,10746.05
2019-02-15,2019-02-15,10724.4
2019-02-18,2019-02-18,10640.95
2019-02-19,2019-02-19,10604.35
2019-02-20,2019-02-20,10735.45
2019-02-21,2019-02-21,10789.85
2019-02-22,2019-02-22,10791.65
2019-02-25,2019-02-25,10880.1
2019-02-26,2019-02-26,10835.3
2019-02-27,2019-02-27,10806.65
2019-02-28,2019-02-28,10792.5
2019-03-01,2019-03-01,10863.5
2019-03-05,2019-03-05,10987.45
2019-03-06,2019-03-06,11053.0
2019-03-07,2019-03-07,11058.2
2019-03-08,2019-03-08,11035.4
2019-03-11,2019-03-11,11168.05
2019-03-12,2019-03-12,11301.2
2019-03-13,2019-03-13,11341.7
2019-03-14,2019-03-14,11343.25
2019-03-15,2019-03-15,11426.85
2019-03-18,2019-03-18,11462.2
2019-03-19,2019-03-19,11532.4
2019-03-20,2019-03-20,11521.05
2019-03-22,2019-03-22,11456.9
2019-03-25,2019-03-25,11354.25
2019-03-26,2019-03-26,11483.25
2019-03-27,2019-03-27,11445.05
2019-03-28,2019-03-28,11570.0
2019-03-29,2019-03-29,11623.9
2019-04-01,2019-04-01,11669.15
2019-04-02,2019-04-02,11713.2
2019-04-03,2019-04-03,11643.95
2019-04-04,2019-04-04,11598.0
2019-04-05,2019-04-05,11665.95
2019-04-08,2019-04-08,11604.5
2019-04-09,2019-04-09,11671.95
2019-04-10,2019-04-10,11584.3
2019-04-11,2019-04-11,11596.7
2019-04-12,2019-04-12,11643.45
2019-04-15,2019-04-15,11690.35
2019-04-16,2019-04-16,11787.15
2019-04-18,2019-04-18,11752.8
2019-04-22,2019-04-22,11594.45
2019-04-23,2019-04-23,11575.95
2019-04-24,2019-04-24,11726.15
2019-04-25,2019-04-25,11641.8
2019-04-26,2019-04-26,11754.65
2019-04-30,2019-04-30,11748.15
2019-05-02,2019-05-02,11724.75
2019-05-03,2019-05-03,11712.25
2019-05-06,2019-05-06,11598.25
2019-05-07,2019-05-07,11497.9
2019-05-08,2019-05-08,11359.45
2019-05-09,2019-05-09,11301.8
2019-05-10,2019-05-10,11278.9
2019-05-13,2019-05-13,11148.2
2019-05-14,2019-05-14,11222.05
2019-05-15,2019-05-15,11157.0
2019-05-16,2019-05-16,11257.1
2019-05-17,2019-05-17,11407.15
2019-05-20,2019-05-20,11828.25
2019-05-21,2019-05-21,11709.1
2019-05-22,2019-05-22,11737.9
2019-05-23,2019-05-23,11657.05
2019-05-24,2019-05-24,11844.1
2019-05-27,2019-05-27,11924.75
2019-05-28,2019-05-28,11928.75
2019-05-29,2019-05-29,11861.1
2019-05-30,2019-05-30,11945.9
2019-05-31,2019-05-31,11922.8
2019-06-03,2019-06-03,12088.55
2019-06-04,2019-06-04,12021.65
2019-06-06,2019-06-06,11843.75
2019-06-07,2019-06-07,11870.65
2019-06-10,2019-06-10,11922.7
2019-06-11,2019-06-11,11965.6
2019-06-12,2019-06-12,11906.2
2019-06-13,2019-06-13,11914.05
2019-06-14,2019-06-14,11823.3
2019-06-17,2019-06-17,11672.15
2019-06-18,2019-06-18,11691.5
2019-06-19,2019-06-19,11691.45
2019-06-20,2019-06-20,11831.75
2019-06-21,2019-06-21,11724.1
2019-06-24,2019-06-24,11699.65
2019-06-25,2019-06-25,11796.45
2019-06-26,2019-06-26,11847.55
2019-06-27,2019-06-27,11841.55
2019-06-28,2019-06-28,11788.85
2019-07-01,2019-07-01,11865.6
2019-07-02,2019-07-02,11910.3
2019-07-03,2019-07-03,11916.75
2019-07-04,2019-07-04,11946.75
2019-07-05,2019-07-05,11811.15
2019-07-08,2019-07-08,11558.6
2019-07-09,2019-07-09,11555.9
2019-07-10,2019-07-10,11498.9
2019-07-11,2019-07-11,11582.9
2019-07-12,2019-07-12,11552.5
2019-07-15,2019-07-15,11588.35
2019-07-16,2019-07-16,11662.6
2019-07-17,2019-07-17,11687.5
2019-07-18,2019-07-18,11596.9
2019-07-19,2019-07-19,11419.25
2019-07-22,2019-07-22,11346.2
2019-07-23,2019-07-23,11331.05
2019-07-24,2019-07-24,11271.3
2019-07-25,2019-07-25,11252.15
2019-07-26,2019-07-26,11284.3
2019-07-29,2019-07-29,11189.2
2019-07-30,2019-07-30,11085.4
2019-07-31,2019-07-31,11118.0
2019-08-01,2019-08-01,10980.0
2019-08-02,2019-08-02,10997.35
2019-08-05,2019-08-05,10862.6
2019-08-06,2019-08-06,10948.25
2019-08-07,2019-08-07,10855.5
2019-08-08,2019-08-08,11032.45
2019-08-09,2019-08-09,11109.65
2019-08-13,2019-08-13,10925.85
2019-08-14,2019-08-14,11029.4
2019-08-16,2019-08-16,11047.8
2019-08-19,2019-08-19,11053.9
2019-08-20,2019-08-20,11017.0
2019-08-21,2019-08-21,10918.7
2019-08-22,2019-08-22,10741.35
2019-08-23,2019-08-23,10829.35
2019-08-26,2019-08-26,11057.85
2019-08-27,2019-08-27,11105.35
2019-08-28,2019-08-28,11046.1
2019-08-29,2019-08-29,10948.3
2019-08-30,2019-08-30,11023.25
2019-09-03,2019-09-03,10797.9
2019-09-04,2019-09-04,10844.65
2019-09-05,2019-09-05,10847.9
2019-09-06,2019-09-06,10946.2
2019-09-09,2019-09-09,11003.05
2019-09-11,2019-09-11,11035.7
2019-09-12,2019-09-12,10982.8
2019-09-13,2019-09-13,11075.9
2019-09-16,2019-09-16,11003.5
2019-09-17,2019-09-17,10817.6
2019-09-18,2019-09-18,10840.65
2019-09-19,2019-09-19,10704.8
2019-09-20,2019-09-20,11274.2
2019-09-23,2019-09-23,11600.2
2019-09-24,2019-09-24,11588.2
2019-09-25,2019-09-25,11440.2
2019-09-26,2019-09-26,11571.2
2019-09-27,2019-09-27,11512.4
2019-09-30,2019-09-30,11474.45
2019-10-01,2019-10-01,11359.9
2019-10-03,2019-10-03,11314.0
2019-10-04,2019-10-04,11174.75
2019-10-07,2019-10-07,11126.4
2019-10-09,2019-10-09,11313.3
2019-10-10,2019-10-10,11234.55
2019-10-11,2019-10-11,11305.05
2019-10-14,2019-10-14,11341.15
2019-10-15,2019-10-15,11428.3
2019-10-16,2019-10-16,11464.0
2019-10-17,2019-10-17,11586.35
2019-10-18,2019-10-18,11661.85
2019-10-22,2019-10-22,11588.35
2019-10-23,2019-10-23,11604.1
2019-10-24,2019-10-24,11582.6
2019-10-25,2019-10-25,11583.9
2019-10-29,2019-10-29,11786.85
2019-10-30,2019-10-30,11844.1
2019-10-31,2019-10-31,11877.45
2019-11-01,2019-11-01,11890.6
2019-11-04,2019-11-04,11941.3
2019-11-05,2019-11-05,11917.2
2019-11-06,2019-11-06,11966.05
2019-11-07,2019-11-07,12012.05
2019-11-08,2019-11-08,11908.15
2019-11-11,2019-11-11,11913.45
2019-11-13,2019-11-13,11840.45
2019-11-14,2019-11-14,11872.1
2019-11-15,2019-11-15,11895.45
2019-11-18,2019-11-18,11884.5
2019-11-19,2019-11-19,11940.1
2019-11-20,2019-11-20,11999.1
2019-11-21,2019-11-21,11968.4
2019-11-22,2019-11-22,11914.4
2019-11-25,2019-11-25,12073.75
2019-11-26,2019-11-26,12037.7
2019-11-27,2019-11-27,12100.7
2019-11-28,2019-11-28,12151.15
2019-11-29,2019-11-29,12056.05
2019-12-02,2019-12-02,12048.2
2019-12-03,2019-12-03,11994.2
2019-12-04,2019-12-04,12043.2
2019-12-05,2019-12-05,12018.4
2019-12-06,2019-12-06,11921.5
2019-12-09,2019-12-09,11937.5
2019-12-10,2019-12-10,11856.8
2019-12-11,2019-12-11,11910.15
2019-12-12,2019-12-12,11971.8
2019-12-13,2019-12-13,12086.7
2019-12-16,2019-12-16,12053.95
2019-12-17,2019-12-17,12165.0
2019-12-18,2019-12-18,12221.65
2019-12-19,2019-12-19,12259.7
2019-12-20,2019-12-20,12271.8
2019-12-23,2019-12-23,12262.75
2019-12-24,2019-12-24,12214.55
2019-12-26,2019-12-26,12126.55
2019-12-27,2019-12-27,12245.8
2019-12-30,2019-12-30,12255.85
2019-12-31,2019-12-31,12168.45
